# CaO-SrO Pseudobinary Diagram (PARROT Optimized)
# column x: X(SR)   column y: T
# boundary = number of the continuous line
# phases: E = appears or disappears / F0 = fixed at zero amount
# CALCULATED = boundary obtained by common tangent (not exported from the MAP)
boundary,phases,X(SR),T
11,E:LIQUID + F0:HALITE#1,0.49999959953,2870.3600367
11,E:LIQUID + F0:HALITE#1,0.50000002622,2870.3592423
11,E:LIQUID + F0:HALITE#1,0.50000002622,2870.3592423
12,E:LIQUID + F0:HALITE#1,0.33,3109.7123935
12,E:LIQUID + F0:HALITE#1,0.329975,3109.7322217
12,E:LIQUID + F0:HALITE#1,0.305,3128.1346087
12,E:LIQUID + F0:HALITE#1,0.28,3144.0927677
12,E:LIQUID + F0:HALITE#1,0.2675,3151.2921751
12,E:LIQUID + F0:HALITE#1,0.2425,3164.3649256
12,E:LIQUID + F0:HALITE#1,0.2175,3175.9102432
12,E:LIQUID + F0:HALITE#1,0.205,3181.1789827
12,E:LIQUID + F0:HALITE#1,0.18,3190.7995289
12,E:LIQUID + F0:HALITE#1,0.1675,3195.1726825
12,E:LIQUID + F0:HALITE#1,0.1425,3203.0631758
12,E:LIQUID + F0:HALITE#1,0.1175,3209.7869627
12,E:LIQUID + F0:HALITE#1,0.0925,3215.2592201
12,E:LIQUID + F0:HALITE#1,0.08,3217.4845843
12,E:LIQUID + F0:HALITE#1,0.0675,3219.3415709
12,E:LIQUID + F0:HALITE#1,0.055,3220.8063772
12,E:LIQUID + F0:HALITE#1,0.0425,3221.8534629
12,E:LIQUID + F0:HALITE#1,0.0175,3222.5097883
12,E:LIQUID + F0:HALITE#1,0.005,3222.1410381
12,E:LIQUID + F0:HALITE#1,0.0047159090625,3222.1266818
12,E:LIQUID + F0:HALITE#1,0.0041477271875,3222.0971607
12,E:LIQUID + F0:HALITE#1,0.0030113634375,3222.0348777
12,E:LIQUID + F0:HALITE#1,0.0007386359375,3221.9779423
12,E:LIQUID + F0:HALITE#1,0.0001704540625,3221.9409347
12,E:LIQUID + F0:HALITE#1,2.8408593752e-05,3221.9315125
12,E:LIQUID + F0:HALITE#1,1.0652910158e-05,3221.9303299
12,E:LIQUID + F0:HALITE#1,1.7750683614e-06,3221.9297382
12,E:LIQUID + F0:HALITE#1,6.653381368e-07,3221.9296642
12,E:LIQUID + F0:HALITE#1,1.1047302449e-07,3221.9296272
12,E:LIQUID + F0:HALITE#1,4.1114885453e-08,3221.9296226
12,E:LIQUID + F0:HALITE#1,6.4358159339e-09,3221.9296203
12,E:LIQUID + F0:HALITE#1,6.4358159339e-09,3221.9296203
